COUNTY,YEARS,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
Alameda,2019–2020,Age groups,65+ years,15.900,(11.1–20.6),,
Alpine,2019–2020,Age groups,65+ years,22.400,(16.2–28.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2019–2020,Age groups,65+ years,22.400,(16.2–28.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2019–2020,Age groups,65+ years,12.400,(7.3–17.5),,
Calaveras,2019–2020,Age groups,65+ years,22.400,(16.2–28.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2019–2020,Age groups,65+ years,15.600,(9.8–21.3),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2019–2020,Age groups,65+ years,18.700,(13.5–24.0),,
Del Norte,2019–2020,Age groups,65+ years,12.300,(7.9–16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2019–2020,Age groups,65+ years,15.100,(9.8–20.4),,
Fresno,2019–2020,Age groups,65+ years,19.300,(11.2–27.5),,
Glenn,2019–2020,Age groups,65+ years,15.600,(9.8–21.3),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2019–2020,Age groups,65+ years,13.700,(8.6–18.8),,
Imperial,2019–2020,Age groups,65+ years,17.300,(4.5–30.0),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2019–2020,Age groups,65+ years,22.400,(16.2–28.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2019–2020,Age groups,65+ years,14.900,(6.6–23.2),,
Kings,2019–2020,Age groups,65+ years,25.800,(6.9–44.7),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2019–2020,Age groups,65+ years,10.100,(6.7–13.5),,
Lassen,2019–2020,Age groups,65+ years,12.300,(7.9–16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2019–2020,Age groups,65+ years,14.100,(11.9–16.3),,
Madera,2019–2020,Age groups,65+ years,24.400,(15.8–33.1),,
Marin,2019–2020,Age groups,65+ years,17.900,(12.3–23.5),,
Mariposa,2019–2020,Age groups,65+ years,22.400,(16.2–28.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2019–2020,Age groups,65+ years,10.300,(6.4–14.1),,
Merced,2019–2020,Age groups,65+ years,12.000,(7.8–16.1),,
Modoc,2019–2020,Age groups,65+ years,12.300,(7.9–16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2019–2020,Age groups,65+ years,22.400,(16.2–28.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2019–2020,Age groups,65+ years,22.600,(12.9–32.3),,
Napa,2019–2020,Age groups,65+ years,29.500,(13.8–45.2),,
Nevada,2019–2020,Age groups,65+ years,16.600,(11.5–21.7),,
Orange,2019–2020,Age groups,65+ years,10.500,(8.2–12.9),,
Placer,2019–2020,Age groups,65+ years,9.100,(5.7–12.5),,
Plumas,2019–2020,Age groups,65+ years,12.300,(7.9–16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2019–2020,Age groups,65+ years,11.100,(8.7–13.5),,
Sacramento,2019–2020,Age groups,65+ years,16.300,(12.1–20.5),,
San Benito,2019–2020,Age groups,65+ years,13.100,(7.7–18.6),,
San Bernardino,2019–2020,Age groups,65+ years,14.300,(10.0–18.6),,
San Diego,2019–2020,Age groups,65+ years,11.400,(9.4–13.4),,
San Francisco,2019–2020,Age groups,65+ years,15.700,(9.2–22.2),,
San Joaquin,2019–2020,Age groups,65+ years,12.700,(5.1–20.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Luis Obispo,2019–2020,Age groups,65+ years,15.600,(9.9–21.2),,
San Mateo,2019–2020,Age groups,65+ years,16.000,(6.0–26.0),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2019–2020,Age groups,65+ years,10.500,(3.9–17.2),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2019–2020,Age groups,65+ years,19.900,(14.2–25.6),,
Santa Cruz,2019–2020,Age groups,65+ years,9.300,(6.0–12.6),,
Shasta,2019–2020,Age groups,65+ years,11.600,(7.1–16.0),,
Sierra,2019–2020,Age groups,65+ years,12.300,(7.9–16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2019–2020,Age groups,65+ years,12.300,(7.9–16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2019–2020,Age groups,65+ years,28.600,(19.6–37.7),,
Sonoma,2019–2020,Age groups,65+ years,20.000,(12.4–27.5),,
Stanislaus,2019–2020,Age groups,65+ years,13.800,(6.0–21.6),,
Sutter,2019–2020,Age groups,65+ years,11.700,(7.6–15.8),,
Tehama,2019–2020,Age groups,65+ years,15.600,(9.8–21.3),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2019–2020,Age groups,65+ years,12.300,(7.9–16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2019–2020,Age groups,65+ years,14.700,(6.5–22.9),,
Tuolumne,2019–2020,Age groups,65+ years,22.400,(16.2–28.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2019–2020,Age groups,65+ years,10.500,(6.5–14.5),,
Yolo,2019–2020,Age groups,65+ years,17.800,(11.0–24.6),,
Yuba,2019–2020,Age groups,65+ years,20.100,(12.7–27.5),,
California,2021-2022,Total population,All ages,15.200,(14.9-15.6),,
Alameda,2021-2022,Total population,All ages,17.300,(15.1-19.5),,
Alpine,2021-2022,Total population,All ages,24.400,(18.6-30.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2021-2022,Total population,All ages,24.400,(18.6-30.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2021-2022,Total population,All ages,14.700,(11.3-18.2),,
Calaveras,2021-2022,Total population,All ages,24.400,(18.6-30.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2021-2022,Total population,All ages,16.100,(11.8-20.4),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2021-2022,Total population,All ages,17.800,(15-20.6),,
Del Norte,2021-2022,Total population,All ages,12.800,(6.6-19.1),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2021-2022,Total population,All ages,15.200,(11.1-19.2),,
Fresno,2021-2022,Total population,All ages,20.400,(17.3-23.5),,
Glenn,2021-2022,Total population,All ages,16.100,(11.8-20.4),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2021-2022,Total population,All ages,22.600,(16.1-29.2),,
Imperial,2021-2022,Total population,All ages,17.500,(13.1-21.9),,
Inyo,2021-2022,Total population,All ages,24.400,(18.6-30.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2021-2022,Total population,All ages,16.800,(13-20.6),,
Kings,2021-2022,Total population,All ages,16.000,(12.4-19.7),,
Lake,2021-2022,Total population,All ages,10.900,(7.1-14.7),,
Lassen,2021-2022,Total population,All ages,12.800,(6.6-19.1),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2021-2022,Total population,All ages,14.300,(13.4-15.1),,
Madera,2021-2022,Total population,All ages,15.000,(11.4-18.6),,
Marin,2021-2022,Total population,All ages,15.200,(11.7-18.8),,
Mariposa,2021-2022,Total population,All ages,24.400,(18.6-30.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2021-2022,Total population,All ages,20.100,(14.4-25.8),,
Merced,2021-2022,Total population,All ages,14.700,(10.7-18.6),,
Modoc,2021-2022,Total population,All ages,12.800,(6.6-19.1),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2021-2022,Total population,All ages,24.400,(18.6-30.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2021-2022,Total population,All ages,11.300,(6.7-15.9),,
Napa,2021-2022,Total population,All ages,16.300,(11.5-21.2),,
Nevada,2021-2022,Total population,All ages,16.400,(12.3-20.4),,
Orange,2021-2022,Total population,All ages,12.200,(10.8-13.6),,
Placer,2021-2022,Total population,All ages,17.400,(14.4-20.4),,
Plumas,2021-2022,Total population,All ages,12.800,(6.6-19.1),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2021-2022,Total population,All ages,13.500,(11.7-15.3),,
Sacramento,2021-2022,Total population,All ages,18.800,(16.5-21.1),,
San Benito,2021-2022,Total population,All ages,15.600,(9.5-21.7),,
San Bernardino,2021-2022,Total population,All ages,16.200,(14-18.4),,
San Diego,2021-2022,Total population,All ages,14.300,(13.1-15.6),,
San Francisco,2021-2022,Total population,All ages,16.100,(13.4-18.8),,
San Joaquin,2021-2022,Total population,All ages,16.200,(13.4-19.1),,
San Luis Obispo,2021-2022,Total population,All ages,16.900,(12.3-21.4),,
San Mateo,2021-2022,Total population,All ages,15.600,(12.3-18.8),,
Santa Barbara,2021-2022,Total population,All ages,17.200,(13.7-20.7),,
Santa Clara,2021-2022,Total population,All ages,14.200,(12.4-16.1),,
Santa Cruz,2021-2022,Total population,All ages,15.000,(9.8-20.2),,
Shasta,2021-2022,Total population,All ages,12.500,(8.7-16.3),,
Sierra,2021-2022,Total population,All ages,12.800,(6.6-19.1),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2021-2022,Total population,All ages,12.800,(6.6-19.1),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2021-2022,Total population,All ages,19.200,(14.6-23.7),,
Sonoma,2021-2022,Total population,All ages,15.900,(12.5-19.4),,
Stanislaus,2021-2022,Total population,All ages,18.100,(13.8-22.3),,
Sutter,2021-2022,Total population,All ages,17.300,(12.4-22.2),,
Tehama,2021-2022,Total population,All ages,16.100,(11.8-20.4),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2021-2022,Total population,All ages,12.800,(6.6-19.1),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2021-2022,Total population,All ages,12.000,(9-14.9),,
Tuolumne,2021-2022,Total population,All ages,24.400,(18.6-30.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2021-2022,Total population,All ages,15.200,(11.9-18.4),,
Yolo,2021-2022,Total population,All ages,19.400,(12.5-26.4),,
Yuba,2021-2022,Total population,All ages,18.100,(13.2-23),,
California,2021-2022,Child vs. adult,0–17 years,9.900,(9-10.8),,
Alameda,2021-2022,Child vs. adult,0–17 years,4.500,(2.2-6.8),,
Alpine,2021-2022,Child vs. adult,0–17 years,16.400,(1.9-30.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Amador,2021-2022,Child vs. adult,0–17 years,16.400,(1.9-30.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Butte,2021-2022,Child vs. adult,0–17 years,7.900,(1.6-14.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Calaveras,2021-2022,Child vs. adult,0–17 years,16.400,(1.9-30.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Colusa,2021-2022,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Contra Costa,2021-2022,Child vs. adult,0–17 years,9.700,(4.9-14.4),,
Del Norte,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
El Dorado,2021-2022,Child vs. adult,0–17 years,4.900,(0.6-9.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2021-2022,Child vs. adult,0–17 years,16.100,(10.5-21.8),,
Glenn,2021-2022,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Humboldt,2021-2022,Child vs. adult,0–17 years,9.200,(0.5-17.9),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Imperial,2021-2022,Child vs. adult,0–17 years,17.800,(7.9-27.7),,
Inyo,2021-2022,Child vs. adult,0–17 years,16.400,(1.9-30.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kern,2021-2022,Child vs. adult,0–17 years,13.200,(6.6-19.8),,
Kings,2021-2022,Child vs. adult,0–17 years,8.700,(2.2-15.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Lassen,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Los Angeles,2021-2022,Child vs. adult,0–17 years,11.400,(9.6-13.3),,
Madera,2021-2022,Child vs. adult,0–17 years,11.300,(1.7-20.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Marin,2021-2022,Child vs. adult,0–17 years,6.200,(0.4-12),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mariposa,2021-2022,Child vs. adult,0–17 years,16.400,(1.9-30.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mendocino,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Merced,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Modoc,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Mono,2021-2022,Child vs. adult,0–17 years,16.400,(1.9-30.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Napa,2021-2022,Child vs. adult,0–17 years,4.200,(0.6-7.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Nevada,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Orange,2021-2022,Child vs. adult,0–17 years,10.700,(6.1-15.4),,
Placer,2021-2022,Child vs. adult,0–17 years,5.700,(1.4-10),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Plumas,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Riverside,2021-2022,Child vs. adult,0–17 years,6.000,(3.7-8.3),,
Sacramento,2021-2022,Child vs. adult,0–17 years,12.200,(6.6-17.9),,
San Benito,2021-2022,Child vs. adult,0–17 years,11.200,(3.7-18.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Bernardino,2021-2022,Child vs. adult,0–17 years,13.500,(8.5-18.5),,
San Diego,2021-2022,Child vs. adult,0–17 years,9.500,(6.6-12.5),,
San Francisco,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
San Joaquin,2021-2022,Child vs. adult,0–17 years,11.800,(6.1-17.5),,
San Luis Obispo,2021-2022,Child vs. adult,0–17 years,6.600,(0.7-12.5),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Mateo,2021-2022,Child vs. adult,0–17 years,9.100,(3.4-14.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Santa Clara,2021-2022,Child vs. adult,0–17 years,10.600,(6.6-14.7),,
Santa Cruz,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Shasta,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Sierra,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Siskiyou,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Solano,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Sonoma,2021-2022,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Stanislaus,2021-2022,Child vs. adult,0–17 years,6.200,(0.1-12.4),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sutter,2021-2022,Child vs. adult,0–17 years,11.000,(1.4-20.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tehama,2021-2022,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Trinity,2021-2022,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Tulare,2021-2022,Child vs. adult,0–17 years,4.000,(1.1-6.9),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tuolumne,2021-2022,Child vs. adult,0–17 years,16.400,(1.9-30.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2021-2022,Child vs. adult,0–17 years,10.600,(2.5-18.7),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yolo,2021-2022,Child vs. adult,0–17 years,8.800,(2.5-15.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yuba,2021-2022,Child vs. adult,0–17 years,12.500,(3.3-21.7),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
California,2021-2022,Child vs. adult,18+ years,16.500,(16.1-17),,
Alameda,2021-2022,Child vs. adult,18+ years,20.000,(17.4-22.6),,
Alpine,2021-2022,Child vs. adult,18+ years,25.600,(19.1-32.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2021-2022,Child vs. adult,18+ years,25.600,(19.1-32.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2021-2022,Child vs. adult,18+ years,16.100,(12.1-20.1),,
Calaveras,2021-2022,Child vs. adult,18+ years,25.600,(19.1-32.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2021-2022,Child vs. adult,18+ years,19.400,(14.4-24.3),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2021-2022,Child vs. adult,18+ years,19.600,(16.4-22.7),,
Del Norte,2021-2022,Child vs. adult,18+ years,14.300,(7.3-21.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2021-2022,Child vs. adult,18+ years,17.000,(12.4-21.7),,
Fresno,2021-2022,Child vs. adult,18+ years,21.800,(18-25.6),,
Glenn,2021-2022,Child vs. adult,18+ years,19.400,(14.4-24.3),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2021-2022,Child vs. adult,18+ years,25.600,(17.7-33.4),,
Imperial,2021-2022,Child vs. adult,18+ years,17.400,(12.4-22.3),,
Inyo,2021-2022,Child vs. adult,18+ years,25.600,(19.1-32.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2021-2022,Child vs. adult,18+ years,18.000,(13.7-22.2),,
Kings,2021-2022,Child vs. adult,18+ years,18.900,(14.5-23.4),,
Lake,2021-2022,Child vs. adult,18+ years,12.300,(8-16.5),,
Lassen,2021-2022,Child vs. adult,18+ years,14.300,(7.3-21.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2021-2022,Child vs. adult,18+ years,14.900,(14-15.8),,
Madera,2021-2022,Child vs. adult,18+ years,15.900,(12.1-19.8),,
Marin,2021-2022,Child vs. adult,18+ years,16.900,(12.9-20.8),,
Mariposa,2021-2022,Child vs. adult,18+ years,25.600,(19.1-32.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2021-2022,Child vs. adult,18+ years,22.400,(16.3-28.6),,
Merced,2021-2022,Child vs. adult,18+ years,18.100,(13.2-23.1),,
Modoc,2021-2022,Child vs. adult,18+ years,14.300,(7.3-21.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2021-2022,Child vs. adult,18+ years,25.600,(19.1-32.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2021-2022,Child vs. adult,18+ years,11.600,(7.5-15.7),,
Napa,2021-2022,Child vs. adult,18+ years,19.200,(13.5-25),,
Nevada,2021-2022,Child vs. adult,18+ years,18.900,(14.4-23.4),,
Orange,2021-2022,Child vs. adult,18+ years,12.500,(11.2-13.9),,
Placer,2021-2022,Child vs. adult,18+ years,19.200,(15.9-22.6),,
Plumas,2021-2022,Child vs. adult,18+ years,14.300,(7.3-21.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2021-2022,Child vs. adult,18+ years,15.500,(13.3-17.6),,
Sacramento,2021-2022,Child vs. adult,18+ years,20.500,(18-23.1),,
San Benito,2021-2022,Child vs. adult,18+ years,16.500,(9.4-23.7),,
San Bernardino,2021-2022,Child vs. adult,18+ years,17.000,(14.6-19.3),,
San Diego,2021-2022,Child vs. adult,18+ years,15.600,(14.4-16.8),,
San Francisco,2021-2022,Child vs. adult,18+ years,18.000,(15-21),,
San Joaquin,2021-2022,Child vs. adult,18+ years,17.500,(14.3-20.8),,
San Luis Obispo,2021-2022,Child vs. adult,18+ years,18.900,(13.7-24),,
San Mateo,2021-2022,Child vs. adult,18+ years,16.900,(13.2-20.6),,
Santa Barbara,2021-2022,Child vs. adult,18+ years,20.200,(16.2-24.3),,
Santa Clara,2021-2022,Child vs. adult,18+ years,15.100,(13-17.1),,
Santa Cruz,2021-2022,Child vs. adult,18+ years,17.400,(11.1-23.7),,
Shasta,2021-2022,Child vs. adult,18+ years,14.900,(10.3-19.6),,
Sierra,2021-2022,Child vs. adult,18+ years,14.300,(7.3-21.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2021-2022,Child vs. adult,18+ years,14.300,(7.3-21.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2021-2022,Child vs. adult,18+ years,21.900,(16.6-27.1),,
Sonoma,2021-2022,Child vs. adult,18+ years,18.400,(14.6-22.3),,
Stanislaus,2021-2022,Child vs. adult,18+ years,21.200,(16.2-26.2),,
Sutter,2021-2022,Child vs. adult,18+ years,19.100,(13.3-24.8),,
Tehama,2021-2022,Child vs. adult,18+ years,19.400,(14.4-24.3),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2021-2022,Child vs. adult,18+ years,14.300,(7.3-21.4),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2021-2022,Child vs. adult,18+ years,14.900,(11.2-18.7),,
Tuolumne,2021-2022,Child vs. adult,18+ years,25.600,(19.1-32.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2021-2022,Child vs. adult,18+ years,16.300,(12.8-19.7),,
Yolo,2021-2022,Child vs. adult,18+ years,22.000,(13.6-30.3),,
Yuba,2021-2022,Child vs. adult,18+ years,19.900,(14-25.8),,
California,2021-2022,Age groups,0–4 years,2.900,(2-3.9),,
Alameda,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Alpine,2021-2022,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Amador,2021-2022,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Butte,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Calaveras,2021-2022,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Colusa,2021-2022,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Contra Costa,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Del Norte,2021-2022,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
El Dorado,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Fresno,2021-2022,Age groups,0–4 years,15.900,(6.3-25.5),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Glenn,2021-2022,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Humboldt,2021-2022,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
